quarter,clima_package,dependent_name,dependent_repo,first_seen_at
2021-Q1,Oceananigans,Oceanostics,https://github.com/tomchor/Oceanostics.jl.git,2021-03-08
2023-Q1,Oceananigans,OceanBioME,https://github.com/OceanBioME/OceanBioME.jl.git,2023-03-20
2023-Q1,Thermodynamics,SOCRATESSingleColumnForcings,https://github.com/jbphyswx/SOCRATESSingleColumnForcings.jl.git,2023-02-19
2023-Q3,EnsembleKalmanProcesses,FastIsostasy,https://github.com/JanJereczek/FastIsostasy.jl.git,2023-08-25
2023-Q4,Oceananigans,Walrus,https://github.com/jagoosw/Walrus.jl.git,2023-12-01
2024-Q1,Oceananigans,TurbulentWords,https://github.com/navidcy/TurbulentWords.jl.git,2024-01-27
2024-Q1,Oceananigans,WenoNeverworld,https://github.com/simone-silvestri/WenoNeverworld.jl.git,2024-02-02
2024-Q2,EnsembleKalmanProcesses,SimulationBasedInference,https://github.com/bgroenks96/SimulationBasedInference.jl.git,2024-04-19
2024-Q2,SeawaterPolynomials,Oceanostics,https://github.com/tomchor/Oceanostics.jl.git,2024-05-09
2024-Q3,SeawaterPolynomials,OceanBioME,https://github.com/OceanBioME/OceanBioME.jl.git,2024-08-15
2024-Q3,UnrolledUtilities,Lux,https://github.com/LuxDL/Lux.jl.git,2024-07-02
2024-Q3,UnrolledUtilities,LuxDeviceUtils,https://github.com/LuxDL/MLDataDevices.jl.git,2024-07-13
2024-Q3,UnrolledUtilities,LuxLib,https://github.com/LuxDL/Lux.jl.git,2024-07-23
2024-Q3,UnrolledUtilities,MLDataDevices,https://github.com/LuxDL/Lux.jl.git,2024-07-27
2025-Q1,Oceananigans,Agate,https://github.com/agate-model/Agate.jl.git,2025-03-23
2025-Q4,ClimaOcean,FjordSim,https://github.com/NIVANorge/FjordSim.jl.git,2025-11-24
2025-Q4,Oceananigans,Breeze,https://github.com/NumericalEarth/Breeze.jl.git,2025-12-21
2025-Q4,Oceananigans,FjordSim,https://github.com/NIVANorge/FjordSim.jl.git,2025-11-24
2025-Q4,Oceananigans,OceananigansLagrangianFilter,https://github.com/loisbaker/OceananigansLagrangianFilter.jl.git,2025-11-13
2025-Q4,SeawaterPolynomials,FjordSim,https://github.com/NIVANorge/FjordSim.jl.git,2025-11-24
2026-Q1,ClimaSeaIce,NumericalEarth,https://github.com/NumericalEarth/NumericalEarth.jl.git,2026-02-13
2026-Q1,Oceananigans,NumericalEarth,https://github.com/NumericalEarth/NumericalEarth.jl.git,2026-02-13
2026-Q1,SeawaterPolynomials,NumericalEarth,https://github.com/NumericalEarth/NumericalEarth.jl.git,2026-02-13
2026-Q1,Thermodynamics,NumericalEarth,https://github.com/NumericalEarth/NumericalEarth.jl.git,2026-02-13
2026-Q2,CubedSphere,NumericalEarth,https://github.com/NumericalEarth/NumericalEarth.jl.git,2026-04-30
2026-Q2,Oceananigans,Terrarium,https://github.com/NumericalEarth/Terrarium.jl.git,2026-04-09
2026-Q2,Thermodynamics,Terrarium,https://github.com/NumericalEarth/Terrarium.jl.git,2026-05-15
