repo,quarter,quarter_start,n_prs,median_ttm_days
All repos,2018-Q4,2018-10-01,5,0.004930555555555555
All repos,2019-Q1,2019-01-01,27,0.1709490740740741
All repos,2019-Q2,2019-04-01,71,0.13945601851851852
All repos,2019-Q3,2019-07-01,115,0.17337962962962963
All repos,2019-Q4,2019-10-01,181,0.10451388888888889
All repos,2020-Q1,2020-01-01,118,0.18585648148148148
All repos,2020-Q2,2020-04-01,72,0.4233796296296296
All repos,2020-Q3,2020-07-01,147,0.5647916666666667
All repos,2020-Q4,2020-10-01,116,1.1409143518518519
All repos,2021-Q1,2021-01-01,154,0.7306076388888889
All repos,2021-Q2,2021-04-01,186,0.6134722222222222
All repos,2021-Q3,2021-07-01,298,0.2986747685185185
All repos,2021-Q4,2021-10-01,227,0.5022453703703704
All repos,2022-Q1,2022-01-01,399,0.6434606481481482
All repos,2022-Q2,2022-04-01,539,0.2986574074074074
All repos,2022-Q3,2022-07-01,522,0.28669560185185183
All repos,2022-Q4,2022-10-01,515,0.13960648148148147
All repos,2023-Q1,2023-01-01,372,0.8753356481481482
All repos,2023-Q2,2023-04-01,486,0.49775462962962963
All repos,2023-Q3,2023-07-01,508,0.8310011574074074
All repos,2023-Q4,2023-10-01,482,0.8241956018518518
All repos,2024-Q1,2024-01-01,690,0.8564930555555557
All repos,2024-Q2,2024-04-01,641,0.6558564814814815
All repos,2024-Q3,2024-07-01,620,0.4459722222222222
All repos,2024-Q4,2024-10-01,660,0.9670659722222222
All repos,2025-Q1,2025-01-01,779,0.7900115740740741
All repos,2025-Q2,2025-04-01,694,0.924693287037037
All repos,2025-Q3,2025-07-01,535,1.0666319444444445
All repos,2025-Q4,2025-10-01,576,0.9646238425925926
All repos,2026-Q1,2026-01-01,772,0.9685416666666666
All repos,2026-Q2,2026-04-01,397,0.9476157407407407
CalibrateEmulateSample,2019-Q2,2019-04-01,4,11.504756944444445
CalibrateEmulateSample,2019-Q3,2019-07-01,5,0.773599537037037
CalibrateEmulateSample,2020-Q1,2020-01-01,19,0.1893287037037037
CalibrateEmulateSample,2020-Q2,2020-04-01,9,0.40457175925925926
CalibrateEmulateSample,2020-Q3,2020-07-01,6,3.4583564814814816
CalibrateEmulateSample,2020-Q4,2020-10-01,7,7.195613425925926
CalibrateEmulateSample,2021-Q1,2021-01-01,10,0.8890046296296297
CalibrateEmulateSample,2021-Q2,2021-04-01,2,11.773755787037036
CalibrateEmulateSample,2022-Q1,2022-01-01,6,25.2
CalibrateEmulateSample,2022-Q2,2022-04-01,22,0.08863425925925926
CalibrateEmulateSample,2022-Q3,2022-07-01,5,7.12855324074074
CalibrateEmulateSample,2022-Q4,2022-10-01,8,0.03786458333333333
CalibrateEmulateSample,2023-Q1,2023-01-01,3,4.146655092592592
CalibrateEmulateSample,2023-Q2,2023-04-01,7,0.02912037037037037
CalibrateEmulateSample,2023-Q3,2023-07-01,3,0.07552083333333333
CalibrateEmulateSample,2023-Q4,2023-10-01,15,0.731875
CalibrateEmulateSample,2024-Q1,2024-01-01,12,4.390653935185185
CalibrateEmulateSample,2024-Q2,2024-04-01,13,0.22769675925925925
CalibrateEmulateSample,2024-Q3,2024-07-01,5,1.0538078703703704
CalibrateEmulateSample,2024-Q4,2024-10-01,8,0.08673611111111111
CalibrateEmulateSample,2025-Q1,2025-01-01,4,6.052424768518518
CalibrateEmulateSample,2025-Q2,2025-04-01,6,4.027424768518519
CalibrateEmulateSample,2025-Q3,2025-07-01,4,27.31984375
CalibrateEmulateSample,2025-Q4,2025-10-01,4,7.570763888888889
CalibrateEmulateSample,2026-Q1,2026-01-01,7,10.046585648148149
CalibrateEmulateSample,2026-Q2,2026-04-01,16,0.05690393518518519
ClimaAnalysis,2024-Q1,2024-01-01,5,0.010358796296296297
ClimaAnalysis,2024-Q2,2024-04-01,11,0.029976851851851852
ClimaAnalysis,2024-Q3,2024-07-01,38,0.04384259259259259
ClimaAnalysis,2024-Q4,2024-10-01,34,0.7437152777777778
ClimaAnalysis,2025-Q1,2025-01-01,18,3.985011574074074
ClimaAnalysis,2025-Q2,2025-04-01,32,2.1147222222222224
ClimaAnalysis,2025-Q3,2025-07-01,19,3.754490740740741
ClimaAnalysis,2025-Q4,2025-10-01,4,1.75625
ClimaAnalysis,2026-Q1,2026-01-01,9,2.218472222222222
ClimaAnalysis,2026-Q2,2026-04-01,6,3.8286458333333333
ClimaAtmos,2021-Q3,2021-07-01,45,0.039467592592592596
ClimaAtmos,2021-Q4,2021-10-01,2,3.5005266203703704
ClimaAtmos,2022-Q1,2022-01-01,45,0.24438657407407408
ClimaAtmos,2022-Q2,2022-04-01,203,0.13775462962962962
ClimaAtmos,2022-Q3,2022-07-01,208,0.14937499999999998
ClimaAtmos,2022-Q4,2022-10-01,281,0.08332175925925926
ClimaAtmos,2023-Q1,2023-01-01,125,0.27975694444444443
ClimaAtmos,2023-Q2,2023-04-01,187,0.31381944444444443
ClimaAtmos,2023-Q3,2023-07-01,179,0.5856134259259259
ClimaAtmos,2023-Q4,2023-10-01,165,0.5891319444444445
ClimaAtmos,2024-Q1,2024-01-01,222,0.7217071759259259
ClimaAtmos,2024-Q2,2024-04-01,157,0.38298611111111114
ClimaAtmos,2024-Q3,2024-07-01,124,0.6181076388888889
ClimaAtmos,2024-Q4,2024-10-01,108,0.6521354166666666
ClimaAtmos,2025-Q1,2025-01-01,171,0.5219560185185185
ClimaAtmos,2025-Q2,2025-04-01,70,1.6036863425925927
ClimaAtmos,2025-Q3,2025-07-01,94,1.1313368055555555
ClimaAtmos,2025-Q4,2025-10-01,97,1.202210648148148
ClimaAtmos,2026-Q1,2026-01-01,135,1.0159375
